ID;TITLE;AUTHOR;TYPE;LOCATION;DATE;ABSLINK;FORMLINK;AXIS;PAPERLINK
A028;Modeling and simulation of sugar cane spirit process in the presence of volatile organic compounds;Isabella Christina Cavalcante Quaranta;Oral;A definir;Local;https://goo.gl/pqqAmb;https://goo.gl/kwW6Q8;Modelagem e Simulação de Processos;a
A029;Deep Reinforcement Learning for Process Control and Optimization;Bruno Didier Olivier Capron;Oral;A definir;Local;https://goo.gl/Vph4tW;https://goo.gl/PFaE6X;Tratamento de Dados e Aprendizado de Máquina;a
A030;Cocrystallization modeling: a review;Rafael Siqueira Colombo;Oral;A definir;Local;https://goo.gl/qsK77D;https://goo.gl/wxSMJt;Modelagem e Simulação de Processos;a
A031;Use of a commercial process simulator to identify a technical viability for the use of yellow melon based deflavored clarified and concentrated juice;Raimundo Marcelino da Silva Neto;Pôster;A definir;Local;https://goo.gl/4AnV8q;https://goo.gl/uDyaYs;Modelagem e Simulação de Processos;a
A032;An Actor-Critic Reinforcement Learning algorithm applied to process control;Lucas Ferreira Bernardino;Pôster;A definir;Local;https://goo.gl/hJnpaq;https://goo.gl/a9CddL;Controle e Instrumentação de Processos;a
A033;Deep Learning meets Fault Detection and Diagnosis;Gilberto Magalhães Xavier;Oral;A definir;Local;https://goo.gl/BvYg7o;https://goo.gl/xWh1uL;Detecção e Diagnóstico de Falhas;a
A034;Dynamic Simulation of a Pulsatile Flow by Applying Pressure Variations;Matheus R. Marques de Almeida;Pôster;A definir;Local;https://goo.gl/8KvS22;https://goo.gl/eK14ho;Modelagem e Simulação de Processos;a
A035;A comprehensive review of optimization studies applied to reactive dividing wall column;Murielk Sebrian Valvassore;Oral;A definir;Local;https://goo.gl/GMPYx4;https://goo.gl/8t5PXj;Integração e Intensificação de Processos;a
A036;Plant layout optimization in synthesis of heat exchanger networks;Maria Alexandra Pires Cruz;Pôster;A definir;Local;https://goo.gl/S1ipAj;https://goo.gl/AfawPf;Integração e Intensificação de Processos;a
A037;Estimation of the mean moisture content of a population of milk powder particles with different residence times in a spray dryer;Diego Henrique de Souza Chaves;Pôster;A definir;Local;https://goo.gl/kZQ4JA;https://goo.gl/pgKjqE;Modelagem e Simulação de Processos;a
A038;2D CFD simulation of photocatalytic NOx abatement process in a flat plate reactor;Natan Padoin;Oral;A definir;Local;https://goo.gl/SUgVe6;https://goo.gl/z9YJaE;Modelagem e Simulação de Processos;a
A039;Application and Development of Nanomaterials using Molecular Dynamics Simulation;Natan Padoin;Pôster;A definir;Local;https://goo.gl/Y5gPY4;https://goo.gl/puuUL2;Modelagem Molecular e Projeto de Produto;a
A040;Validation of feedforward control for synthesis in photomicroreactor under sunlight fluctuating irradiation;Natan Padoin;Oral;A definir;Local;https://goo.gl/eP3b4S;https://goo.gl/MXseLQ;Integração e Intensificação de Processos;a
A041;LQR Controller for ALSTON Gasifier Benchmark Based on a Balanced and Reduced Order Model;Felipe Coelho Vieira;Oral;A definir;Local;https://goo.gl/fy17Ab;https://goo.gl/xzm2bG;Controle e Instrumentação de Processos;a
A042;Modeling, simulation and control of a propane-propylene splitter;Stefan Suarez Ferreira;Oral;A definir;Local;https://goo.gl/rQVmwg;https://goo.gl/DV5Gau;Modelagem e Simulação de Processos;a
A043;Process integration enhancement via black liquor gasification in the Kraft pulp industry;Meire Ellen Gorete Ribeiro Domingos;Oral;A definir;Local;https://goo.gl/MNgWCe;https://goo.gl/Mjxkpn;Modelagem e Simulação de Processos;a
A044;Modeling and Synthesis of Cooling Water Pump Network;Ricardo de Freitas Fernandes Pontes;Oral;A definir;Local;https://goo.gl/jthKv5;https://goo.gl/pPXdNV;Síntese e Projeto de Processos;a
A045;Dynamic modeling of ultra-pasteurization on dairy products by energy balance on discretized heat exchangers;Gabriela Pinho Tavares Rittershaussen;Oral;A definir;Local;https://goo.gl/aEwc5M;https://goo.gl/1SjbGU;Modelagem e Simulação de Processos;a
A046;Technological trends and production of olefins and diolefins by electrolysis of Kolbe;Aline Marcelino de Sousa Costa;Pôster;A definir;Local;https://goo.gl/nhWZyQ;https://goo.gl/bMm2UD;Síntese e Projeto de Processos;a
A047;Statistical Analysis of the Afrodescendents undergraduate students of UFBA;Helianildes Silva Ferreira;Pôster;A definir;Local;https://goo.gl/NaCJGD;https://goo.gl/wRA5Z3;Modelagem e Simulação de Processos;a
